Serial_No,Fund_Name,Fund_Family,Fund_Class,Plan,Options,Riskometer,CRISIL_MF_RANK,Sector_Allocation_size,Sector1_Name,Sector1_Percentage,Sector2_Name,Sector2_Percentage,Sector3_Name,Sector3_Percentage,Sector4_Name,Sector4_Percentage,Sector5_Name,Sector5_Percentage,Sector6_Name,Sector6_Percentage,Sector7_Name,Sector7_Percentage,Sector8_Name,Sector8_Percentage,Sector9_Name,Sector9_Percentage,Sector10_Name,Sector10_Percentage,Total_percentage_of _allocation
14,SBI FMCG Fund - Direct Plan (G),SBI Mutual Fund,Sector - FMCG,Direct,Growth,H,NR,6,Food & Beverage,27.64,Miscellaneous,19.8,Tobacco,18.49,Cons NonDurable,17.89,Manufacturing,6.07,Services,4.49,,,,,,,,,94.38
15,SBI IT Fund - Direct Plan (G),SBI Mutual Fund,Sector - Technology,Direct,Growth,H,NR,2,Technology,83.43,Miscellaneous,7.8,,,,,,,,,,,,,,,,,91.23
16,SBI Magnum Equity Fund - Direct Plan (G),SBI Mutual Fund,Large Cap,Direct,Growth,MH,2,10,Banking/Finance,34.89,Technology,11.92,Oil & Gas,11.09,Telecom,7.98,Metals & Mining,5.54,Automotive,5.52,Consumer Non-durables,3.42,Engineering & Capital Goods,3.27,Tobacco,3.02,Services,2.91,89.56
17,SBI Pharma Fund - Direct Plan (G),SBI Mutual Fund,Sector - Pharma & Healthcare,Direct,Growth,H,NR,2,Pharmaceuticals,81.33,Services,8.89,,,,,,,,,,,,,,,,,90.22
18,Sundaram Equity Plus - Direct Plan (G),Sundaram Mutual Fund,Large Cap,Direct,Growth,MH,NR,10,Banking/Finance,20.43,Technology,11.14,Oil & Gas,9.78,Automotive,6.96,Engineering,3.98,Tobacco,2.48,Utilities,2.41,Conglomerates,1.98,Telecommunication,1.92,Consumer Non-durables,1.85,62.93
19,Sundaram Smart NIFTY 100 Equal Weight Fund - Direct Plan (G),Sundaram Mutual Fund,Large Cap,Direct,Growth,MH,NR,10,Banking/Finance,17.6,Automotive,9.59,Pharmaceuticals,9.14,Metals & Mining,7.95,Oil & Gas,7.86,Cons NonDurable,7.01,Engineering & Capital Goods,6.73,Information Technology,5.82,Utilities,4.05,Cement & Construction,3.73,79.48
20,Tata Banking and Financial Services Fund - Direct Plan (G),Tata Mutual Fund ,Sector - Banking & Finance,Direct,Growth,MH,NR,4,Banking/Finance,87.31,Manufacturing,6.15,Miscellaneous,3.18,Conglomerates,2.13,,,,,,,,,,,,,98.77
21,Tata Digital India Fund - Direct Plan (G),Tata Mutual Fund ,Sector - Technology,Direct,Growth,MH,NR,2,Technology,91.98,Miscellaneous,5.53,,,,,,,,,,,,,,,,,97.51
22,Tata India Pharma & HealthCare Fund - Direct Plan (G),Tata Mutual Fund ,Sector - Pharma & Healthcare,Direct,Growth,MH,NR,3,Pharmaceuticals,78.52,Miscellaneous,11.24,Services,9.2,,,,,,,,,,,,,,,98.96
23,Tata Large Cap Fund - Direct Plan (G),Tata Mutual Fund ,Large Cap,Direct,Growth,MH,3,10,Banking/Finance,29.31,Automotive,10.73,Technology,9.76,Oil & Gas,8.01,Manufacturing,7.09,Engineering,5.91,Consumer Non-durables,4.69,Tobacco,4.48,Media & Entertainment,3.24,Services,2.91,86.13
24,UTI Banking Sector Fund - Direct Plan (G),UTI Mutual Fund ,Sector - Banking & Finance,Direct,Growth,H,NR,4,Banking/Finance,88.8,Miscellaneous,6.65,Manufacturing,2.42,Conglomerates,1.76,,,,,,,,,,,,,99.63
25,UTI Equity Fund - Direct Plan (G),UTI Mutual Fund ,Large Cap,Direct,Growth,H,2,10,Banking/Finance,31.31,Pharmaceuticals,12.57,Technology,11.92,Automotive,10.5,Miscellaneous,5.1,Engineering,4.38,Manufacturing,3.8,Chemicals,3.77,Tobacco,3.61,Cement & Construction,3.58,90.54
26,UTI Pharma & Healthcare Fund - Direct Plan (G),UTI Mutual Fund ,Sector - Pharma & Healthcare,Direct,Growth,H,NR,4,Pharmaceuticals,85.37,Services,4.68,Miscellaneous,4.01,Manufacturing,2.81,,,,,,,,,,,,,96.87
27,UTI Top 100 Fund - Direct Plan (G),UTI Mutual Fund ,Large Cap,Direct,Growth,ML,3,10,Banking/Finance,23.67,Technology,11.7,Automotive,11.99,Technology,11.7,Pharmaceuticals,8.28,Utilities,8.09,Metals & Mining,5.68,Conglomerates,5.01,Oil & Gas,4.79,Tobacco,4.66,95.57
28,Aditya Birla Sun Life Banking And Financial Services Fund - Regular Plan (G),Aditya Birla Sun Life Mutual Fund ,Sector - Banking & Finance,Regular,Growth,H,NR,4,Banking/Finance,90.18,Conglomerates,2.58,Miscellaneous,2.45,Manufacturing,2.01,,,,,,,,,,,,,97.22
29,Aditya Birla Sun Life Frontline Equity Fund (G),Aditya Birla Sun Life Mutual Fund ,Large Cap,Regular,Growth,MH,4,10,Banking/Finance,34,Automotive,9.43,Oil & Gas,7.83,Technology,7.39,Metals & Mining,5.71,Pharmaceuticals,5.21,Engineering & Capital Goods,4.53,Tobacco,3.94,Manufacturing,3.8,Consumer Non-durables,3.79,85.63
30,Aditya Birla Sun Life New Millennium Fund (G),Aditya Birla Sun Life Mutual Fund ,Sector - Technology,Regular,Growth,H,NR,4,Technology,71.34,Telecom,19.37,Media,6.19,Miscellaneous,1.18,,,,,,,,,,,,,98.08
31,Aditya Birla Sun Life Top 100 Fund (G),Aditya Birla Sun Life Mutual Fund ,Large Cap,Regular,Growth,MH,5,10,Banking/Finance,31.48,Oil & Gas,9.68,Automotive,8.11,Technology,7.08,Metals & Mining,6.31,Pharmaceuticals,4.34,Manufacturing,4.06,Tobacco,4.11,Utilities,2.78,Engineering & Capital Goods,3.12,81.07
32,HDFC Large Cap Fund (G),HDFC Mutual Fund,Large Cap,Regular,Growth,MH,1,8,Banking/Finance,37.03,Oil & Gas,21.74,Automotive,13.81,Engineering,8.23,Technology,4.7,Utilities,4.01,Cement & Construction,3.2,Metals & Mining,1.32,,,,,94.04
33,HDFC Top 200 Fund (G),HDFC Mutual Fund,Large Cap,Regular,Growth,MH,3,10,Banking/Finance,32.5,Technology,11.04,Engineering,9.64,Oil & Gas,9.26,Utilities,6.79,Metals & Mining,6.07,Tobacco,4.21,Pharmaceuticals,3.6,Automotive,3.42,Chemicals,2.39,88.92
34,ICICI Prudential Banking & Financial Services Fund - Retail Plan (G),ICICI Prudential Mutual Fund,Sector - Banking & Finance,Regular,Growth,H,NR,4,Banking/Finance,80.77,Manufacturing,2.37,Miscellaneous,1.25,Conglomerates,0.76,,,,,,,,,,,,,85.15
35,ICICI Prudential FMCG Fund (G),ICICI Prudential Mutual Fund ,Sector - FMCG,Regular,Growth,H,NR,5,Tobacco,32.9,Cons NonDurable,32.13,Food & Beverage,14.16,Miscellaneous,6.53,Retail & Real Estate,5.29,,,,,,,,,,,91.01
36,ICICI Prudential Focused Bluechip Equity Fund (G),ICICI Prudential Mutual Fund ,Large Cap,Regular,Growth,MH,4,10,Banking/Finance,31.42,Automotive,12.27,Oil & Gas,8.23,Technology,7.7,Utilities,5.82,Pharmaceuticals,5.33,Telecommunication,4.11,Metals & Mining,3.96,Tobacco,3.57,Engineering & Capital Goods,3.39,85.8
37,ICICI Prudential Technology Fund (G),ICICI Prudential Mutual Fund,Sector - Technology,Regular,Growth,H,NR,1,Technology,93.63,,,,,,,,,,,,,,,,,,,93.63
38,Reliance Pharma Fund (G),Reliance Mutual Fund,Sector - Pharma & Healthcare,Regular,Growth,H,NR,4,Pharmaceuticals,82.81,Services,12.85,Manufacturing,1.82,Miscellaneous,0.56,,,,,,,,,,,,,98.04
39,SBI Banking & Financial Services Fund - Regular Plan (G),SBI Mutual Fund,Sector - Banking & Finance,Regular,Growth,H,NR,3,Banking/Finance,77.54,Conglomerates,7.36,Miscellaneous,3.95,,,,,,,,,,,,,,,88.85
40,SBI Blue Chip Fund (G),SBI Mutual Fund,Large Cap,Regular,Growth,MH,4,10,Banking/Finance,28.1,Automotive,10.6,Pharmaceuticals,5.88,Oil & Gas,5.86,Engineering,5.77,Conglomerates,4.72,Chemicals,4.27,Food & Beverages,3.93,Manufacturing,3.3,Tobacco,2.71,75.14
41,SBI FMCG Fund (G),SBI Mutual Fund,Sector - FMCG,Regular,Growth,H,NR,6,Food & Beverage,27.64,Miscellaneous,19.8,Tobacco,18.49,Cons NonDurable,17.89,Manufacturing,6.07,Services,4.49,,,,,,,,,94.38
42,SBI IT Fund (G),SBI Mutual Fund,Sector - Technology,Regular,Growth,H,NR,2,Technology,83.43,Miscellaneous,7.8,,,,,,,,,,,,,,,,,91.23
43,SBI Magnum Equity Fund (G),SBI Mutual Fund,Large Cap,Regular,Growth,MH,2,10,Banking/Finance,34.89,Technology,11.92,Oil & Gas,11.09,Telecom,7.98,Metals & Mining,5.54,Automotive,5.52,Consumer Non-durables,3.42,Engineering & Capital Goods,3.27,Tobacco,3.02,Services,2.91,89.56
44,SBI Pharma Fund (G),SBI Mutual Fund,Sector - Pharma & Healthcare,Regular,Growth,H,NR,2,Pharmaceuticals,81.33,Services,8.89,,,,,,,,,,,,,,,,,90.22
45,Sundaram Equity Plus (G),Sundaram Mutual Fund,Large Cap,Regular,Growth,MH,NR,10,Banking/Finance,20.43,Technology,11.14,Oil & Gas,9.78,Automotive,6.96,Engineering,3.98,Tobacco,2.48,Utilities,2.41,Conglomerates,1.98,Telecommunication,1.92,Consumer Non-durables,1.85,62.93
46,Sundaram Smart NIFTY 100 Equal Weight Fund - Regular Plan (G),Sundaram Mutual Fund,Large Cap,Regular,Growth,MH,NR,10,Banking/Finance,17.6,Automotive,9.59,Pharmaceuticals,9.14,Metals & Mining,7.95,Oil & Gas,7.86,Cons NonDurable,7.01,Engineering & Capital Goods,6.73,Information Technology,5.82,Utilities,4.05,Cement & Construction,3.73,79.48
47,Tata Banking and Financial Services Fund - Regular Plan (G),Tata Mutual Fund ,Sector - Banking & Finance,Regular,Growth,MH,NR,4,Banking/Finance,87.31,Manufacturing,6.15,Miscellaneous,3.18,Conglomerates,2.13,,,,,,,,,,,,,98.77
48,Tata Digital India Fund - Regular Plan (G),Tata Mutual Fund ,Sector - Technology,Regular,Growth,MH,NR,2,Technology,91.98,Miscellaneous,5.53,,,,,,,,,,,,,,,,,97.51
49,Tata India Pharma & HealthCare Fund - Regular Plan (G),Tata Mutual Fund ,Sector - Pharma & Healthcare,Regular,Growth,MH,NR,3,Pharmaceuticals,78.52,Miscellaneous,11.24,Services,9.2,,,,,,,,,,,,,,,98.96
50,Tata Large Cap Fund - Regular Plan (G),Tata Mutual Fund ,Large Cap,Regular,Growth,MH,3,10,Banking/Finance,29.31,Automotive,10.73,Technology,9.76,Oil & Gas,8.01,Manufacturing,7.09,Engineering,5.91,Consumer Non-durables,4.69,Tobacco,4.48,Media & Entertainment,3.24,Services,2.91,86.13
51,UTI Banking Sector Fund (G),UTI Mutual Fund ,Sector - Banking & Finance,Regular,Growth,H,NR,4,Banking/Finance,88.8,Miscellaneous,6.65,Manufacturing,2.42,Conglomerates,1.76,,,,,,,,,,,,,99.63
52,UTI Equity Fund (G),UTI Mutual Fund ,Large Cap,Regular,Growth,H,2,10,Banking/Finance,31.31,Pharmaceuticals,12.57,Technology,11.92,Automotive,10.5,Miscellaneous,5.1,Engineering,4.38,Manufacturing,3.8,Chemicals,3.77,Tobacco,3.61,Cement & Construction,3.58,90.54
53,UTI Pharma & Healthcare Fund (G),UTI Mutual Fund ,Sector - Pharma & Healthcare,Regular,Growth,H,NR,4,Pharmaceuticals,85.37,Services,4.68,Miscellaneous,4.01,Manufacturing,2.81,,,,,,,,,,,,,96.87
54,UTI Top 100 Fund (G),UTI Mutual Fund ,Large Cap,Regular,Growth,ML,3,10,Banking/Finance,23.67,Technology,11.7,Automotive,11.99,Technology,11.7,Pharmaceuticals,8.28,Utilities,8.09,Metals & Mining,5.68,Conglomerates,5.01,Oil & Gas,4.79,Tobacco,4.66,95.57
